Section_UUID	Page	Display_Order	Section_Type	Section_Data	Hidden	Is_Required
SEC-company-7	/company	70	contact-split	{"eyebrow":"Speak to an expert","heading":"Tell us the product and the market. We'll map the pathway.","fields":[{"label":"Name","wide":false},{"label":"Work email","wide":false},{"label":"Company","wide":false},{"label":"Country","wide":false},{"label":"Contact number","wide":false},{"label":"Purpose / remarks — tell us why you are getting in touch","wide":true}],"submitLabel":"Submit enquiry","submitHref":"/contact/enquiry","routes":[{"title":"Request a proposal","body":"Defined scope, timeline and commercial terms.","href":"/contact/proposal","emphasis":"neutral"},{"title":"Partnership enquiry","body":"For CROs, consultancies and local agents.","href":"/contact/partnership","emphasis":"neutral"},{"title":"Submit your CV","body":"Looking to join us? Send your CV and see the roles we are hiring for.","href":"/careers","linkLabel":"View openings","emphasis":"neutral"},{"title":"Pharmacovigilance & safety","body":"Report an adverse event or product safety concern. Handled separately from commercial enquiries.","href":"/contact/safety","linkLabel":"Safety reporting","emphasis":"safety"}],"generalLabel":"General enquiries","generalEmail":"cs@genedrift.com"}	false	true
SEC-explore-business-needs-1	/explore/business-needs	10	page-head	{"eyebrow":"Explore","heading":"Business Needs.","standfirst":"Placeholder standfirst — the client's own description of this service replaces it through the CMS. Nothing on this page has been verified.","actions":[{"label":"Speak to an Expert","href":"/contact/enquiry","variant":"solid"},{"label":"Our operating model","href":"/company/operating-model","variant":"quiet"}]}	false	true
SEC-explore-business-needs-2	/explore/business-needs	20	process-grid	{"eyebrow":"Operating model","heading":"Twelve stages, filing to withdrawal.","standfirst":"The same team carries a product from the first strategy call through every renewal that follows.","stages":[{"title":"Regulatory strategy","body":"Target markets, pathway and sequencing agreed before anything is written."},{"title":"Regulatory intelligence","body":"Current country requirements, mapped and kept current."},{"title":"Classification & gap analysis","body":"What you have, against what each authority expects."},{"title":"Dossier preparation","body":"Compiled to the receiving authority's format, not a generic template."},{"title":"eCTD publishing","body":"Validated output, lifecycle-ready sequences."},{"title":"Submission management","body":"Filed locally, tracked centrally, reported to you."},{"title":"Authority interaction","body":"Queries answered by the people who wrote the dossier."},{"title":"Approval","body":"The licence issued, with every commitment logged for what follows."},{"title":"Lifecycle management","body":"Variations, renewals, transfers, notifications, withdrawals."},{"title":"MAH / local representation","body":"Licence held locally where you have no entity."},{"title":"Pharmacovigilance","body":"Local QPPV, case processing, aggregate reports, inspections."},{"title":"Dedicated resource","body":"Named FTE and embedded teams as the portfolio grows."}]}	false	true
SEC-explore-business-needs-3	/explore/business-needs	30	faq-accordion	{"eyebrow":"Common questions","heading":"What people ask before they engage.","items":[{"question":"Do we need a local entity to register a product?","answer":"Placeholder answer — the client's regulatory team must supply and approve this. In most markets a local presence of some form is required, but the specific mechanism varies by country and product type."},{"question":"Can you hold the marketing authorisation on our behalf?","answer":"Placeholder answer. MAH and local representation is one of the three core capabilities; availability differs per market and is shown on each country page."},{"question":"How is pharmacovigilance handled across multiple markets?","answer":"Placeholder answer covering local QPPV cover, case intake, aggregate reporting and inspection readiness."},{"question":"What happens after approval?","answer":"Placeholder answer covering variations, renewals, transfers and withdrawals — stages nine through twelve of the operating model."}]}	false	true
SEC-explore-business-needs-4	/explore/business-needs	40	contact-split	{"eyebrow":"Speak to an expert","heading":"Tell us the product and the market. We'll map the pathway.","fields":[{"label":"Name","wide":false},{"label":"Work email","wide":false},{"label":"Company","wide":false},{"label":"Country","wide":false},{"label":"Contact number","wide":false},{"label":"Purpose / remarks — tell us why you are getting in touch","wide":true}],"submitLabel":"Submit enquiry","submitHref":"/contact/enquiry","routes":[{"title":"Request a proposal","body":"Defined scope, timeline and commercial terms.","href":"/contact/proposal","emphasis":"neutral"},{"title":"Partnership enquiry","body":"For CROs, consultancies and local agents.","href":"/contact/partnership","emphasis":"neutral"},{"title":"Submit your CV","body":"Looking to join us? Send your CV and see the roles we are hiring for.","href":"/careers","linkLabel":"View openings","emphasis":"neutral"},{"title":"Pharmacovigilance & safety","body":"Report an adverse event or product safety concern. Handled separately from commercial enquiries.","href":"/contact/safety","linkLabel":"Safety reporting","emphasis":"safety"}],"generalLabel":"General enquiries","generalEmail":"cs@genedrift.com"}	false	true
SEC-explore-guided-journeys-1	/explore/guided-journeys	10	page-head	{"eyebrow":"Explore","heading":"Guided Journeys.","standfirst":"Placeholder standfirst — the client's own description of this service replaces it through the CMS. Nothing on this page has been verified.","actions":[{"label":"Speak to an Expert","href":"/contact/enquiry","variant":"solid"},{"label":"Our operating model","href":"/company/operating-model","variant":"quiet"}]}	false	true
SEC-explore-guided-journeys-2	/explore/guided-journeys	20	process-grid	{"eyebrow":"Operating model","heading":"Twelve stages, filing to withdrawal.","standfirst":"The same team carries a product from the first strategy call through every renewal that follows.","stages":[{"title":"Regulatory strategy","body":"Target markets, pathway and sequencing agreed before anything is written."},{"title":"Regulatory intelligence","body":"Current country requirements, mapped and kept current."},{"title":"Classification & gap analysis","body":"What you have, against what each authority expects."},{"title":"Dossier preparation","body":"Compiled to the receiving authority's format, not a generic template."},{"title":"eCTD publishing","body":"Validated output, lifecycle-ready sequences."},{"title":"Submission management","body":"Filed locally, tracked centrally, reported to you."},{"title":"Authority interaction","body":"Queries answered by the people who wrote the dossier."},{"title":"Approval","body":"The licence issued, with every commitment logged for what follows."},{"title":"Lifecycle management","body":"Variations, renewals, transfers, notifications, withdrawals."},{"title":"MAH / local representation","body":"Licence held locally where you have no entity."},{"title":"Pharmacovigilance","body":"Local QPPV, case processing, aggregate reports, inspections."},{"title":"Dedicated resource","body":"Named FTE and embedded teams as the portfolio grows."}]}	false	true
SEC-explore-guided-journeys-3	/explore/guided-journeys	30	faq-accordion	{"eyebrow":"Common questions","heading":"What people ask before they engage.","items":[{"question":"Do we need a local entity to register a product?","answer":"Placeholder answer — the client's regulatory team must supply and approve this. In most markets a local presence of some form is required, but the specific mechanism varies by country and product type."},{"question":"Can you hold the marketing authorisation on our behalf?","answer":"Placeholder answer. MAH and local representation is one of the three core capabilities; availability differs per market and is shown on each country page."},{"question":"How is pharmacovigilance handled across multiple markets?","answer":"Placeholder answer covering local QPPV cover, case intake, aggregate reporting and inspection readiness."},{"question":"What happens after approval?","answer":"Placeholder answer covering variations, renewals, transfers and withdrawals — stages nine through twelve of the operating model."}]}	false	true
SEC-explore-guided-journeys-4	/explore/guided-journeys	40	contact-split	{"eyebrow":"Speak to an expert","heading":"Tell us the product and the market. We'll map the pathway.","fields":[{"label":"Name","wide":false},{"label":"Work email","wide":false},{"label":"Company","wide":false},{"label":"Country","wide":false},{"label":"Contact number","wide":false},{"label":"Purpose / remarks — tell us why you are getting in touch","wide":true}],"submitLabel":"Submit enquiry","submitHref":"/contact/enquiry","routes":[{"title":"Request a proposal","body":"Defined scope, timeline and commercial terms.","href":"/contact/proposal","emphasis":"neutral"},{"title":"Partnership enquiry","body":"For CROs, consultancies and local agents.","href":"/contact/partnership","emphasis":"neutral"},{"title":"Submit your CV","body":"Looking to join us? Send your CV and see the roles we are hiring for.","href":"/careers","linkLabel":"View openings","emphasis":"neutral"},{"title":"Pharmacovigilance & safety","body":"Report an adverse event or product safety concern. Handled separately from commercial enquiries.","href":"/contact/safety","linkLabel":"Safety reporting","emphasis":"safety"}],"generalLabel":"General enquiries","generalEmail":"cs@genedrift.com"}	false	true
SEC-explore-questionnaire-1	/explore/questionnaire	10	page-head	{"eyebrow":"Explore","heading":"Questionnaire.","standfirst":"Placeholder standfirst — the client's own description of this service replaces it through the CMS. Nothing on this page has been verified.","actions":[{"label":"Speak to an Expert","href":"/contact/enquiry","variant":"solid"},{"label":"Our operating model","href":"/company/operating-model","variant":"quiet"}]}	false	true
SEC-explore-questionnaire-2	/explore/questionnaire	20	process-grid	{"eyebrow":"Operating model","heading":"Twelve stages, filing to withdrawal.","standfirst":"The same team carries a product from the first strategy call through every renewal that follows.","stages":[{"title":"Regulatory strategy","body":"Target markets, pathway and sequencing agreed before anything is written."},{"title":"Regulatory intelligence","body":"Current country requirements, mapped and kept current."},{"title":"Classification & gap analysis","body":"What you have, against what each authority expects."},{"title":"Dossier preparation","body":"Compiled to the receiving authority's format, not a generic template."},{"title":"eCTD publishing","body":"Validated output, lifecycle-ready sequences."},{"title":"Submission management","body":"Filed locally, tracked centrally, reported to you."},{"title":"Authority interaction","body":"Queries answered by the people who wrote the dossier."},{"title":"Approval","body":"The licence issued, with every commitment logged for what follows."},{"title":"Lifecycle management","body":"Variations, renewals, transfers, notifications, withdrawals."},{"title":"MAH / local representation","body":"Licence held locally where you have no entity."},{"title":"Pharmacovigilance","body":"Local QPPV, case processing, aggregate reports, inspections."},{"title":"Dedicated resource","body":"Named FTE and embedded teams as the portfolio grows."}]}	false	true
SEC-explore-questionnaire-3	/explore/questionnaire	30	faq-accordion	{"eyebrow":"Common questions","heading":"What people ask before they engage.","items":[{"question":"Do we need a local entity to register a product?","answer":"Placeholder answer — the client's regulatory team must supply and approve this. In most markets a local presence of some form is required, but the specific mechanism varies by country and product type."},{"question":"Can you hold the marketing authorisation on our behalf?","answer":"Placeholder answer. MAH and local representation is one of the three core capabilities; availability differs per market and is shown on each country page."},{"question":"How is pharmacovigilance handled across multiple markets?","answer":"Placeholder answer covering local QPPV cover, case intake, aggregate reporting and inspection readiness."},{"question":"What happens after approval?","answer":"Placeholder answer covering variations, renewals, transfers and withdrawals — stages nine through twelve of the operating model."}]}	false	true
SEC-explore-questionnaire-4	/explore/questionnaire	40	contact-split	{"eyebrow":"Speak to an expert","heading":"Tell us the product and the market. We'll map the pathway.","fields":[{"label":"Name","wide":false},{"label":"Work email","wide":false},{"label":"Company","wide":false},{"label":"Country","wide":false},{"label":"Contact number","wide":false},{"label":"Purpose / remarks — tell us why you are getting in touch","wide":true}],"submitLabel":"Submit enquiry","submitHref":"/contact/enquiry","routes":[{"title":"Request a proposal","body":"Defined scope, timeline and commercial terms.","href":"/contact/proposal","emphasis":"neutral"},{"title":"Partnership enquiry","body":"For CROs, consultancies and local agents.","href":"/contact/partnership","emphasis":"neutral"},{"title":"Submit your CV","body":"Looking to join us? Send your CV and see the roles we are hiring for.","href":"/careers","linkLabel":"View openings","emphasis":"neutral"},{"title":"Pharmacovigilance & safety","body":"Report an adverse event or product safety concern. Handled separately from commercial enquiries.","href":"/contact/safety","linkLabel":"Safety reporting","emphasis":"safety"}],"generalLabel":"General enquiries","generalEmail":"cs@genedrift.com"}	false	true
SEC-expertise-regulatory-affairs-1	/expertise/regulatory-affairs	10	page-head	{"eyebrow":"Expertise","heading":"Regulatory Affairs.","standfirst":"Placeholder standfirst — the client's own description of this service replaces it through the CMS. Nothing on this page has been verified.","actions":[{"label":"Speak to an Expert","href":"/contact/enquiry","variant":"solid"},{"label":"Our operating model","href":"/company/operating-model","variant":"quiet"}]}	false	true
SEC-expertise-regulatory-affairs-2	/expertise/regulatory-affairs	20	process-grid	{"eyebrow":"Operating model","heading":"Twelve stages, filing to withdrawal.","standfirst":"The same team carries a product from the first strategy call through every renewal that follows.","stages":[{"title":"Regulatory strategy","body":"Target markets, pathway and sequencing agreed before anything is written."},{"title":"Regulatory intelligence","body":"Current country requirements, mapped and kept current."},{"title":"Classification & gap analysis","body":"What you have, against what each authority expects."},{"title":"Dossier preparation","body":"Compiled to the receiving authority's format, not a generic template."},{"title":"eCTD publishing","body":"Validated output, lifecycle-ready sequences."},{"title":"Submission management","body":"Filed locally, tracked centrally, reported to you."},{"title":"Authority interaction","body":"Queries answered by the people who wrote the dossier."},{"title":"Approval","body":"The licence issued, with every commitment logged for what follows."},{"title":"Lifecycle management","body":"Variations, renewals, transfers, notifications, withdrawals."},{"title":"MAH / local representation","body":"Licence held locally where you have no entity."},{"title":"Pharmacovigilance","body":"Local QPPV, case processing, aggregate reports, inspections."},{"title":"Dedicated resource","body":"Named FTE and embedded teams as the portfolio grows."}]}	false	true
SEC-expertise-regulatory-affairs-3	/expertise/regulatory-affairs	30	faq-accordion	{"eyebrow":"Common questions","heading":"What people ask before they engage.","items":[{"question":"Do we need a local entity to register a product?","answer":"Placeholder answer — the client's regulatory team must supply and approve this. In most markets a local presence of some form is required, but the specific mechanism varies by country and product type."},{"question":"Can you hold the marketing authorisation on our behalf?","answer":"Placeholder answer. MAH and local representation is one of the three core capabilities; availability differs per market and is shown on each country page."},{"question":"How is pharmacovigilance handled across multiple markets?","answer":"Placeholder answer covering local QPPV cover, case intake, aggregate reporting and inspection readiness."},{"question":"What happens after approval?","answer":"Placeholder answer covering variations, renewals, transfers and withdrawals — stages nine through twelve of the operating model."}]}	false	true
SEC-expertise-regulatory-affairs-4	/expertise/regulatory-affairs	40	contact-split	{"eyebrow":"Speak to an expert","heading":"Tell us the product and the market. We'll map the pathway.","fields":[{"label":"Name","wide":false},{"label":"Work email","wide":false},{"label":"Company","wide":false},{"label":"Country","wide":false},{"label":"Contact number","wide":false},{"label":"Purpose / remarks — tell us why you are getting in touch","wide":true}],"submitLabel":"Submit enquiry","submitHref":"/contact/enquiry","routes":[{"title":"Request a proposal","body":"Defined scope, timeline and commercial terms.","href":"/contact/proposal","emphasis":"neutral"},{"title":"Partnership enquiry","body":"For CROs, consultancies and local agents.","href":"/contact/partnership","emphasis":"neutral"},{"title":"Submit your CV","body":"Looking to join us? Send your CV and see the roles we are hiring for.","href":"/careers","linkLabel":"View openings","emphasis":"neutral"},{"title":"Pharmacovigilance & safety","body":"Report an adverse event or product safety concern. Handled separately from commercial enquiries.","href":"/contact/safety","linkLabel":"Safety reporting","emphasis":"safety"}],"generalLabel":"General enquiries","generalEmail":"cs@genedrift.com"}	false	true
SEC-expertise-pharmacovigilance-1	/expertise/pharmacovigilance	10	page-head	{"eyebrow":"Expertise","heading":"Pharmacovigilance.","standfirst":"Placeholder standfirst — the client's own description of this service replaces it through the CMS. Nothing on this page has been verified.","actions":[{"label":"Speak to an Expert","href":"/contact/enquiry","variant":"solid"},{"label":"Our operating model","href":"/company/operating-model","variant":"quiet"}]}	false	true
SEC-expertise-pharmacovigilance-2	/expertise/pharmacovigilance	20	process-grid	{"eyebrow":"Operating model","heading":"Twelve stages, filing to withdrawal.","standfirst":"The same team carries a product from the first strategy call through every renewal that follows.","stages":[{"title":"Regulatory strategy","body":"Target markets, pathway and sequencing agreed before anything is written."},{"title":"Regulatory intelligence","body":"Current country requirements, mapped and kept current."},{"title":"Classification & gap analysis","body":"What you have, against what each authority expects."},{"title":"Dossier preparation","body":"Compiled to the receiving authority's format, not a generic template."},{"title":"eCTD publishing","body":"Validated output, lifecycle-ready sequences."},{"title":"Submission management","body":"Filed locally, tracked centrally, reported to you."},{"title":"Authority interaction","body":"Queries answered by the people who wrote the dossier."},{"title":"Approval","body":"The licence issued, with every commitment logged for what follows."},{"title":"Lifecycle management","body":"Variations, renewals, transfers, notifications, withdrawals."},{"title":"MAH / local representation","body":"Licence held locally where you have no entity."},{"title":"Pharmacovigilance","body":"Local QPPV, case processing, aggregate reports, inspections."},{"title":"Dedicated resource","body":"Named FTE and embedded teams as the portfolio grows."}]}	false	true
SEC-expertise-pharmacovigilance-3	/expertise/pharmacovigilance	30	faq-accordion	{"eyebrow":"Common questions","heading":"What people ask before they engage.","items":[{"question":"Do we need a local entity to register a product?","answer":"Placeholder answer — the client's regulatory team must supply and approve this. In most markets a local presence of some form is required, but the specific mechanism varies by country and product type."},{"question":"Can you hold the marketing authorisation on our behalf?","answer":"Placeholder answer. MAH and local representation is one of the three core capabilities; availability differs per market and is shown on each country page."},{"question":"How is pharmacovigilance handled across multiple markets?","answer":"Placeholder answer covering local QPPV cover, case intake, aggregate reporting and inspection readiness."},{"question":"What happens after approval?","answer":"Placeholder answer covering variations, renewals, transfers and withdrawals — stages nine through twelve of the operating model."}]}	false	true
SEC-expertise-pharmacovigilance-4	/expertise/pharmacovigilance	40	contact-split	{"eyebrow":"Speak to an expert","heading":"Tell us the product and the market. We'll map the pathway.","fields":[{"label":"Name","wide":false},{"label":"Work email","wide":false},{"label":"Company","wide":false},{"label":"Country","wide":false},{"label":"Contact number","wide":false},{"label":"Purpose / remarks — tell us why you are getting in touch","wide":true}],"submitLabel":"Submit enquiry","submitHref":"/contact/enquiry","routes":[{"title":"Request a proposal","body":"Defined scope, timeline and commercial terms.","href":"/contact/proposal","emphasis":"neutral"},{"title":"Partnership enquiry","body":"For CROs, consultancies and local agents.","href":"/contact/partnership","emphasis":"neutral"},{"title":"Submit your CV","body":"Looking to join us? Send your CV and see the roles we are hiring for.","href":"/careers","linkLabel":"View openings","emphasis":"neutral"},{"title":"Pharmacovigilance & safety","body":"Report an adverse event or product safety concern. Handled separately from commercial enquiries.","href":"/contact/safety","linkLabel":"Safety reporting","emphasis":"safety"}],"generalLabel":"General enquiries","generalEmail":"cs@genedrift.com"}	false	true
SEC-expertise-mah-local-representation-1	/expertise/mah-local-representation	10	page-head	{"eyebrow":"Expertise","heading":"MAH & Local Representation.","standfirst":"Placeholder standfirst — the client's own description of this service replaces it through the CMS. Nothing on this page has been verified.","actions":[{"label":"Speak to an Expert","href":"/contact/enquiry","variant":"solid"},{"label":"Our operating model","href":"/company/operating-model","variant":"quiet"}]}	false	true
SEC-expertise-mah-local-representation-2	/expertise/mah-local-representation	20	process-grid	{"eyebrow":"Operating model","heading":"Twelve stages, filing to withdrawal.","standfirst":"The same team carries a product from the first strategy call through every renewal that follows.","stages":[{"title":"Regulatory strategy","body":"Target markets, pathway and sequencing agreed before anything is written."},{"title":"Regulatory intelligence","body":"Current country requirements, mapped and kept current."},{"title":"Classification & gap analysis","body":"What you have, against what each authority expects."},{"title":"Dossier preparation","body":"Compiled to the receiving authority's format, not a generic template."},{"title":"eCTD publishing","body":"Validated output, lifecycle-ready sequences."},{"title":"Submission management","body":"Filed locally, tracked centrally, reported to you."},{"title":"Authority interaction","body":"Queries answered by the people who wrote the dossier."},{"title":"Approval","body":"The licence issued, with every commitment logged for what follows."},{"title":"Lifecycle management","body":"Variations, renewals, transfers, notifications, withdrawals."},{"title":"MAH / local representation","body":"Licence held locally where you have no entity."},{"title":"Pharmacovigilance","body":"Local QPPV, case processing, aggregate reports, inspections."},{"title":"Dedicated resource","body":"Named FTE and embedded teams as the portfolio grows."}]}	false	true
SEC-expertise-mah-local-representation-3	/expertise/mah-local-representation	30	faq-accordion	{"eyebrow":"Common questions","heading":"What people ask before they engage.","items":[{"question":"Do we need a local entity to register a product?","answer":"Placeholder answer — the client's regulatory team must supply and approve this. In most markets a local presence of some form is required, but the specific mechanism varies by country and product type."},{"question":"Can you hold the marketing authorisation on our behalf?","answer":"Placeholder answer. MAH and local representation is one of the three core capabilities; availability differs per market and is shown on each country page."},{"question":"How is pharmacovigilance handled across multiple markets?","answer":"Placeholder answer covering local QPPV cover, case intake, aggregate reporting and inspection readiness."},{"question":"What happens after approval?","answer":"Placeholder answer covering variations, renewals, transfers and withdrawals — stages nine through twelve of the operating model."}]}	false	true
SEC-expertise-mah-local-representation-4	/expertise/mah-local-representation	40	contact-split	{"eyebrow":"Speak to an expert","heading":"Tell us the product and the market. We'll map the pathway.","fields":[{"label":"Name","wide":false},{"label":"Work email","wide":false},{"label":"Company","wide":false},{"label":"Country","wide":false},{"label":"Contact number","wide":false},{"label":"Purpose / remarks — tell us why you are getting in touch","wide":true}],"submitLabel":"Submit enquiry","submitHref":"/contact/enquiry","routes":[{"title":"Request a proposal","body":"Defined scope, timeline and commercial terms.","href":"/contact/proposal","emphasis":"neutral"},{"title":"Partnership enquiry","body":"For CROs, consultancies and local agents.","href":"/contact/partnership","emphasis":"neutral"},{"title":"Submit your CV","body":"Looking to join us? Send your CV and see the roles we are hiring for.","href":"/careers","linkLabel":"View openings","emphasis":"neutral"},{"title":"Pharmacovigilance & safety","body":"Report an adverse event or product safety concern. Handled separately from commercial enquiries.","href":"/contact/safety","linkLabel":"Safety reporting","emphasis":"safety"}],"generalLabel":"General enquiries","generalEmail":"cs@genedrift.com"}	false	true
SEC-expertise-regulatory-intelligence-1	/expertise/regulatory-intelligence	10	page-head	{"eyebrow":"Expertise","heading":"Regulatory Intelligence.","standfirst":"Placeholder standfirst — the client's own description of this service replaces it through the CMS. Nothing on this page has been verified.","actions":[{"label":"Speak to an Expert","href":"/contact/enquiry","variant":"solid"},{"label":"Our operating model","href":"/company/operating-model","variant":"quiet"}]}	false	true
SEC-expertise-regulatory-intelligence-2	/expertise/regulatory-intelligence	20	process-grid	{"eyebrow":"Operating model","heading":"Twelve stages, filing to withdrawal.","standfirst":"The same team carries a product from the first strategy call through every renewal that follows.","stages":[{"title":"Regulatory strategy","body":"Target markets, pathway and sequencing agreed before anything is written."},{"title":"Regulatory intelligence","body":"Current country requirements, mapped and kept current."},{"title":"Classification & gap analysis","body":"What you have, against what each authority expects."},{"title":"Dossier preparation","body":"Compiled to the receiving authority's format, not a generic template."},{"title":"eCTD publishing","body":"Validated output, lifecycle-ready sequences."},{"title":"Submission management","body":"Filed locally, tracked centrally, reported to you."},{"title":"Authority interaction","body":"Queries answered by the people who wrote the dossier."},{"title":"Approval","body":"The licence issued, with every commitment logged for what follows."},{"title":"Lifecycle management","body":"Variations, renewals, transfers, notifications, withdrawals."},{"title":"MAH / local representation","body":"Licence held locally where you have no entity."},{"title":"Pharmacovigilance","body":"Local QPPV, case processing, aggregate reports, inspections."},{"title":"Dedicated resource","body":"Named FTE and embedded teams as the portfolio grows."}]}	false	true
SEC-expertise-regulatory-intelligence-3	/expertise/regulatory-intelligence	30	faq-accordion	{"eyebrow":"Common questions","heading":"What people ask before they engage.","items":[{"question":"Do we need a local entity to register a product?","answer":"Placeholder answer — the client's regulatory team must supply and approve this. In most markets a local presence of some form is required, but the specific mechanism varies by country and product type."},{"question":"Can you hold the marketing authorisation on our behalf?","answer":"Placeholder answer. MAH and local representation is one of the three core capabilities; availability differs per market and is shown on each country page."},{"question":"How is pharmacovigilance handled across multiple markets?","answer":"Placeholder answer covering local QPPV cover, case intake, aggregate reporting and inspection readiness."},{"question":"What happens after approval?","answer":"Placeholder answer covering variations, renewals, transfers and withdrawals — stages nine through twelve of the operating model."}]}	false	true
SEC-expertise-regulatory-intelligence-4	/expertise/regulatory-intelligence	40	contact-split	{"eyebrow":"Speak to an expert","heading":"Tell us the product and the market. We'll map the pathway.","fields":[{"label":"Name","wide":false},{"label":"Work email","wide":false},{"label":"Company","wide":false},{"label":"Country","wide":false},{"label":"Contact number","wide":false},{"label":"Purpose / remarks — tell us why you are getting in touch","wide":true}],"submitLabel":"Submit enquiry","submitHref":"/contact/enquiry","routes":[{"title":"Request a proposal","body":"Defined scope, timeline and commercial terms.","href":"/contact/proposal","emphasis":"neutral"},{"title":"Partnership enquiry","body":"For CROs, consultancies and local agents.","href":"/contact/partnership","emphasis":"neutral"},{"title":"Submit your CV","body":"Looking to join us? Send your CV and see the roles we are hiring for.","href":"/careers","linkLabel":"View openings","emphasis":"neutral"},{"title":"Pharmacovigilance & safety","body":"Report an adverse event or product safety concern. Handled separately from commercial enquiries.","href":"/contact/safety","linkLabel":"Safety reporting","emphasis":"safety"}],"generalLabel":"General enquiries","generalEmail":"cs@genedrift.com"}	false	true
SEC-expertise-managed-services-1	/expertise/managed-services	10	page-head	{"eyebrow":"Expertise","heading":"Managed Services.","standfirst":"Placeholder standfirst — the client's own description of this service replaces it through the CMS. Nothing on this page has been verified.","actions":[{"label":"Speak to an Expert","href":"/contact/enquiry","variant":"solid"},{"label":"Our operating model","href":"/company/operating-model","variant":"quiet"}]}	false	true
SEC-expertise-managed-services-2	/expertise/managed-services	20	process-grid	{"eyebrow":"Operating model","heading":"Twelve stages, filing to withdrawal.","standfirst":"The same team carries a product from the first strategy call through every renewal that follows.","stages":[{"title":"Regulatory strategy","body":"Target markets, pathway and sequencing agreed before anything is written."},{"title":"Regulatory intelligence","body":"Current country requirements, mapped and kept current."},{"title":"Classification & gap analysis","body":"What you have, against what each authority expects."},{"title":"Dossier preparation","body":"Compiled to the receiving authority's format, not a generic template."},{"title":"eCTD publishing","body":"Validated output, lifecycle-ready sequences."},{"title":"Submission management","body":"Filed locally, tracked centrally, reported to you."},{"title":"Authority interaction","body":"Queries answered by the people who wrote the dossier."},{"title":"Approval","body":"The licence issued, with every commitment logged for what follows."},{"title":"Lifecycle management","body":"Variations, renewals, transfers, notifications, withdrawals."},{"title":"MAH / local representation","body":"Licence held locally where you have no entity."},{"title":"Pharmacovigilance","body":"Local QPPV, case processing, aggregate reports, inspections."},{"title":"Dedicated resource","body":"Named FTE and embedded teams as the portfolio grows."}]}	false	true
SEC-expertise-managed-services-3	/expertise/managed-services	30	faq-accordion	{"eyebrow":"Common questions","heading":"What people ask before they engage.","items":[{"question":"Do we need a local entity to register a product?","answer":"Placeholder answer — the client's regulatory team must supply and approve this. In most markets a local presence of some form is required, but the specific mechanism varies by country and product type."},{"question":"Can you hold the marketing authorisation on our behalf?","answer":"Placeholder answer. MAH and local representation is one of the three core capabilities; availability differs per market and is shown on each country page."},{"question":"How is pharmacovigilance handled across multiple markets?","answer":"Placeholder answer covering local QPPV cover, case intake, aggregate reporting and inspection readiness."},{"question":"What happens after approval?","answer":"Placeholder answer covering variations, renewals, transfers and withdrawals — stages nine through twelve of the operating model."}]}	false	true
SEC-expertise-managed-services-4	/expertise/managed-services	40	contact-split	{"eyebrow":"Speak to an expert","heading":"Tell us the product and the market. We'll map the pathway.","fields":[{"label":"Name","wide":false},{"label":"Work email","wide":false},{"label":"Company","wide":false},{"label":"Country","wide":false},{"label":"Contact number","wide":false},{"label":"Purpose / remarks — tell us why you are getting in touch","wide":true}],"submitLabel":"Submit enquiry","submitHref":"/contact/enquiry","routes":[{"title":"Request a proposal","body":"Defined scope, timeline and commercial terms.","href":"/contact/proposal","emphasis":"neutral"},{"title":"Partnership enquiry","body":"For CROs, consultancies and local agents.","href":"/contact/partnership","emphasis":"neutral"},{"title":"Submit your CV","body":"Looking to join us? Send your CV and see the roles we are hiring for.","href":"/careers","linkLabel":"View openings","emphasis":"neutral"},{"title":"Pharmacovigilance & safety","body":"Report an adverse event or product safety concern. Handled separately from commercial enquiries.","href":"/contact/safety","linkLabel":"Safety reporting","emphasis":"safety"}],"generalLabel":"General enquiries","generalEmail":"cs@genedrift.com"}	false	true
SEC-expertise-dedicated-teams-1	/expertise/dedicated-teams	10	page-head	{"eyebrow":"Expertise","heading":"Dedicated Teams.","standfirst":"Placeholder standfirst — the client's own description of this service replaces it through the CMS. Nothing on this page has been verified.","actions":[{"label":"Speak to an Expert","href":"/contact/enquiry","variant":"solid"},{"label":"Our operating model","href":"/company/operating-model","variant":"quiet"}]}	false	true
SEC-expertise-dedicated-teams-2	/expertise/dedicated-teams	20	process-grid	{"eyebrow":"Operating model","heading":"Twelve stages, filing to withdrawal.","standfirst":"The same team carries a product from the first strategy call through every renewal that follows.","stages":[{"title":"Regulatory strategy","body":"Target markets, pathway and sequencing agreed before anything is written."},{"title":"Regulatory intelligence","body":"Current country requirements, mapped and kept current."},{"title":"Classification & gap analysis","body":"What you have, against what each authority expects."},{"title":"Dossier preparation","body":"Compiled to the receiving authority's format, not a generic template."},{"title":"eCTD publishing","body":"Validated output, lifecycle-ready sequences."},{"title":"Submission management","body":"Filed locally, tracked centrally, reported to you."},{"title":"Authority interaction","body":"Queries answered by the people who wrote the dossier."},{"title":"Approval","body":"The licence issued, with every commitment logged for what follows."},{"title":"Lifecycle management","body":"Variations, renewals, transfers, notifications, withdrawals."},{"title":"MAH / local representation","body":"Licence held locally where you have no entity."},{"title":"Pharmacovigilance","body":"Local QPPV, case processing, aggregate reports, inspections."},{"title":"Dedicated resource","body":"Named FTE and embedded teams as the portfolio grows."}]}	false	true
